DOW;AUT;ACH;SOI;FACC;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526711;Haligovce;710;Stará ¼ubovòa;7;Prešovský;11364863.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Haligovce;SK041A526711
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526720;Hniezdne;710;Stará ¼ubovòa;7;Prešovský;17981280.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Hniezdne;SK041A526720
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526738;Hranièné;710;Stará ¼ubovòa;7;Prešovský;7543027.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Hranièné;SK041A526738
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526746;Hromoš;710;Stará ¼ubovòa;7;Prešovský;13353086.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Hromoš;SK041A526746
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526754;Chme¾nica;710;Stará ¼ubovòa;7;Prešovský;12642744.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Chme¾nica;SK041A526754
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526762;Jakubany;710;Stará ¼ubovòa;7;Prešovský;65709829.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Jakubany;SK041A526762
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526771;Jarabina;710;Stará ¼ubovòa;7;Prešovský;22895534.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Jarabina;SK041A526771
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526789;Kamienka;710;Stará ¼ubovòa;7;Prešovský;29162997.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Kamienka;SK041A526789
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526797;Kolaèkov;710;Stará ¼ubovòa;7;Prešovský;17419414.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Kolaèkov;SK041A526797
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526801;Kremná;710;Stará ¼ubovòa;7;Prešovský;4141026.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Kremná;SK041A526801
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526819;Kyjov;710;Stará ¼ubovòa;7;Prešovský;15654098.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Kyjov;SK041A526819
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526827;Lacková;710;Stará ¼ubovòa;7;Prešovský;6211657.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Lacková;SK041A526827
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526835;Legnava;710;Stará ¼ubovòa;7;Prešovský;8526613.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Legnava;SK041A526835
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526843;Lesnica;710;Stará ¼ubovòa;7;Prešovský;14604592.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Lesnica;SK041A526843
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526851;Litmanová;710;Stará ¼ubovòa;7;Prešovský;17920547.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Litmanová;SK041A526851
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526860;Lomnièka;710;Stará ¼ubovòa;7;Prešovský;30845447.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Lomnièka;SK041A526860
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526878;¼ubotín;710;Stará ¼ubovòa;7;Prešovský;10844537.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;¼ubotín;SK041A526878
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526886;Malý Lipník;710;Stará ¼ubovòa;7;Prešovský;13770060.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Malý Lipník;SK041A526886
